stage,risk_level,stock_code,stock_name,bond_code,bond_name,issue_amount_billion,planned_issue_amount_billion,actual_issue_amount_billion,record_date,priority_subscribe_date,online_subscribe_date,priority_payment_date,winning_result_date,listing_date,convert_start_date,convert_end_date,registered_date,issue_announce_date,latest_announcement_date,latest_title,latest_url,next_action
已上市,低,000034,神州数码,127100,神码转债,13.38999,,,,,2023-12-21,,,2024-01-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688076,ST诺泰,118046,诺泰转债,4.34,,,,,2023-12-15,,,2024-01-18,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300062,中能电气,123234,中能转债,4.0,,,,,2023-12-11,,,2023-12-29,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,001205,盛航股份,127099,盛航转债,7.4,,,,,2023-12-06,,,2023-12-28,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301069,凯盛新材,123233,凯盛转债,6.5,,,,,2023-11-29,,,2023-12-15,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300830,金现代,123232,金现转债,2.025125,,,,,2023-11-27,,,2023-12-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,001269,欧晶科技,127098,欧晶转债,4.7,,,,,2023-11-24,,,2023-12-15,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603937,丽岛新材,113680,丽岛转债,3.0,,,,,2023-11-15,,,2023-12-05,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300938,信测标准,123231,信测转债,5.45,,,,,2023-11-09,,,2023-11-29,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301133,金钟股份,123230,金钟转债,3.5,,,,,2023-11-09,,,2023-12-01,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,001317,三羊马,127097,三羊转债,2.1,,,,,2023-10-26,,,2023-11-17,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603105,芯能科技,113679,芯能转债,8.8,,,,,2023-10-26,,,2023-11-24,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,003036,泰坦股份,127096,泰坦转债,2.955,,,,,2023-10-25,,,2023-11-15,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301062,上海艾录,123229,艾录转债,5.0,,,,,2023-10-23,,,2023-11-20,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301099,雅创电子,123227,雅创转债,3.63,,,,,2023-10-20,,,2023-11-10,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603220,中贝通信,113678,中贝转债,5.17,,,,,2023-10-19,,,2023-11-21,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002111,威海广泰,127095,广泰转债,7.0,,,,,2023-10-18,,,2023-11-10,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002809,红墙股份,127094,红墙转债,3.16,,,,,2023-10-18,,,2023-11-08,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002598,ST章鼓,127093,章鼓转债,2.43,,,,,2023-10-17,,,2023-11-03,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300814,中富电路,123226,中富转债,5.2,,,,,2023-10-16,,,2023-11-03,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300890,翔丰华,123225,翔丰转债,8.0,,,,,2023-10-10,,,2023-10-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,001288,运机集团,127092,运机转债,7.3,,,,,2023-09-21,,,2023-10-20,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301266,宇邦新材,123224,宇邦转债,5.0,,,,,2023-09-19,,,2023-10-18,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300705,九典制药,123223,九典转02,2.7,,,,,2023-09-15,,,2021-04-23,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603306,华懋科技,113677,华懋转债,10.5,,,,,2023-09-14,,,2023-10-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688311,盟升电子,118045,盟升转债,3.0,,,,,2023-09-12,,,2023-10-17,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
